"term","country","topic"
"2149","Gabito Ballesteros","Mexico","Entertainment"
"2150","Julian Qui�ones","Mexico","Entertainment"
"2151","La Casa del dragon","Mexico","Entertainment"
"2152","Ludoviquito Peluche actor","Mexico","Entertainment"
"2153","Paris Jackson","Mexico","Entertainment"
"2154","Pato Levy","Mexico","Entertainment"
"2155","Dia del Padre","Mexico","Culture & Society"
"2156","Feliz dia del Padre","Mexico","Culture & Society"
"2157","Feliz dia del padre","Mexico","Culture & Society"
"2158","Frases para papa","Mexico","Culture & Society"
"2159","Locomotora La Emperatriz","Mexico","Culture & Society"
"2160","San Antonio de Padua","Mexico","Culture & Society"
"2161","Stonehenge","Mexico","Culture & Society"
"2162","Rosalinda Lopez Hernandez","Mexico","Music"
"2163","Festival del Barco del Dragon","Mexico","Travel & Tourism"
"2164","Martes de Frescura 11 de junio 2024","Mexico","Health & Medicine"
"2165","Exitpoll","Netherlands","Politics"
"2166","Julian Assange","Netherlands","Politics"
"2167","Verkiezingen","Netherlands","Politics"
"2168","Turquia vs Georgia","Mexico","Sports"
"2169","Ucrania  Bélgica","Mexico","Sports"
"2170","Uruguay  Bolivia","Mexico","Sports"
"2171","Uruguay vs panama","Mexico","Sports"
"2172","Vinicius","Mexico","Sports"
"2173","A12","Netherlands","Sports"
"2174","Dagestan","Netherlands","Sports"
"2175","Excelsior","Netherlands","Sports"
"2176","F1","Netherlands","Sports"
"2177","F1 Canada","Netherlands","Sports"
"2178","Formule 1","Netherlands","Sports"
"2179","GP Canada","Netherlands","Sports"
"2180","Georgie","Netherlands","Sports"
"2181","Go Ahead Eagles","Netherlands","Sports"
"2182","Joey Veerman","Netherlands","Sports"
"2183","KLM Open","Netherlands","Sports"
"2184","KLM Open 2024","Netherlands","Sports"
"2185","Max Verstappen","Netherlands","Sports"
"2186","Mbappe","Netherlands","Sports"
"2187","NAC","Netherlands","Sports"
"2188","Nederland - Frankrijk","Netherlands","Sports"
"2189","Oranje","Netherlands","Sports"
"2190","Rafael van der Vaart","Netherlands","Sports"
"2191","Swiatek","Netherlands","Sports"
"2192","UFC","Netherlands","Sports"
"2193","Verstappen","Netherlands","Sports"
"2194","Virgil van Dijk","Netherlands","Sports"
"2195","Vitesse","Netherlands","Sports"
"2196","Voetbal","Netherlands","Sports"
"2197","Wijnaldum","Netherlands","Sports"
"2198","Wout Weghorst","Netherlands","Sports"
"2199","Xavi Simons","Netherlands","Sports"
"2200","Afghanistan vs Australia","New Zealand","Sports"
"2201","Afghanistan vs Bangladesh","New Zealand","Sports"
"2202","Afghanistan vs New Zealand","New Zealand","Sports"
"2203","Afghanistan vs South Africa","New Zealand","Sports"
"2204","The Boys","Mexico","Entertainment"
"2205","Un lugar en silencio dia uno","Mexico","Entertainment"
"2206","Ali B","Netherlands","Entertainment"
"2207","Danny de Munk","Netherlands","Entertainment"
"2208","Ed Sheeran","Netherlands","Entertainment"
"2209","Ellen ten Damme","Netherlands","Entertainment"
"2210","Hozier","Netherlands","Entertainment"
"2211","Jill Helena","Netherlands","Entertainment"
"2212","Keane","Netherlands","Entertainment"
"2213","Limp Bizkit","Netherlands","Entertainment"
"2214","Marco van Basten","Netherlands","Entertainment"
"2215","Virlan garcia","Mexico","Entertainment"
"2216","Ronnie Flex","Netherlands","Entertainment"
"2217","Smog","Netherlands","Science & Technology"
"2218","Bruce Springsteen","Netherlands","Music"
"2219","Frans Bauer","Netherlands","Music"
"2220","Guus Meeuwis","Netherlands","Music"
"2221","Best Kept Secret","Netherlands","Music"
"2222","Belgie","Netherlands","Culture & Society"
"2223","Dag van de bouw","Netherlands","Culture & Society"
"2224","Jan Cremer","Netherlands","Culture & Society"
"2225","Judith Uitermark","Netherlands","Culture & Society"
"2226","Kate Middleton","Netherlands","Culture & Society"
"2227","Lieke Klaver","Netherlands","Culture & Society"
"2228","Marjolein Faber","Netherlands","Culture & Society"
"2229","Miss Nederland 2024","Netherlands","Culture & Society"
"2230","Reinier van den Berg","Netherlands","Culture & Society"
"2231","Bunq","Netherlands","Economy"
"2232","Tabak","Netherlands","Lifestyle"
"2233","Zomer","Netherlands","Lifestyle"
"2234","Hamburg","Netherlands","Travel & Tourism"
"2235","Israel","Netherlands","Travel & Tourism"
"2236","Temblor hoy","Mexico","Health & Medicine"
"2237","All Blacks","New Zealand","Sports"
"2238","All Blacks squad 2024","New Zealand","Sports"
"2239","All Blacks team naming","New Zealand","Sports"
"2240","Australia vs England","New Zealand","Sports"
"2241","Australia vs Oman","New Zealand","Sports"
"2242","Bangladesh vs Nepal","New Zealand","Sports"
"2243","Blues vs Brumbies","New Zealand","Sports"
"2244","Blues vs Chiefs","New Zealand","Sports"
"2245","Canada vs Pakistan","New Zealand","Sports"
"2246","Celtics vs Mavericks","New Zealand","Sports"
"2247","Chiefs","New Zealand","Sports"
"2248","Chiefs vs Reds","New Zealand","Sports"
"2249","Connor Garden-Bachop","New Zealand","Sports"
"2250","Copa America","New Zealand","Sports"
"2251","Deontay Wilder","New Zealand","Sports"
"2252","England vs Iceland","New Zealand","Sports"
"2253","England vs Serbia","New Zealand","Sports"
"2254","England vs Slovenia","New Zealand","Sports"
"2255","Euros","New Zealand","Sports"
"2256","F1","New Zealand","Sports"
"2257","Georgia vs Portugal","New Zealand","Sports"
"2258","Highlanders vs Brumbies","New Zealand","Sports"
"2259","Hurricanes vs Chiefs","New Zealand","Sports"
"2260","India vs Afghanistan","New Zealand","Sports"
"2261","India vs Australia","New Zealand","Sports"
"2262","India vs Bangladesh","New Zealand","Sports"
"2263","India vs England","New Zealand","Sports"
"2264","India vs Pakistan","New Zealand","Sports"
"2265","Ireland vs Pakistan","New Zealand","Sports"
"2266","LeBron James","New Zealand","Sports"
"2267","NBA","New Zealand","Sports"
"2268","NBA Draft","New Zealand","Sports"
"2269","NBA Finals","New Zealand","Sports"
"2270","NHL","New Zealand","Sports"
"2271","NRL","New Zealand","Sports"
"2272","Pakistan vs United States","New Zealand","Sports"
"2273","Papua New Guinea vs New Zealand","New Zealand","Sports"
"2274","Portugal vs Czechia","New Zealand","Sports"
"2275","Bharatiya Janata Party","New Zealand","Politics"
"2276","Hunter Biden","New Zealand","Politics"
"2277","Julian Assange","New Zealand","Politics"
"2278","Rishi Sunak","New Zealand","Politics"
"2279","Bridgerton","New Zealand","Entertainment"
"2280","Chelsea Handler","New Zealand","Entertainment"
"2281","Crazy Town","New Zealand","Entertainment"
"2282","Donald Sutherland","New Zealand","Entertainment"
"2283","House of the Dragon","New Zealand","Entertainment"
"2284","Joey Essex","New Zealand","Entertainment"
"2285","Justin Timberlake","New Zealand","Entertainment"
"2286","Calculator","New Zealand","Science & Technology"
"2287","Canva","New Zealand","Science & Technology"
"2288","Nvidia","New Zealand","Science & Technology"
"2289","Quantum","New Zealand","Science & Technology"
"2290","GME stock","New Zealand","Business & Finance"
"2291","Michael Mosley","New Zealand","Health & Medicine"
"2292","Earthquake","New Zealand","Environment"
"2293","Earthquake NZ","New Zealand","Environment"
"2294","Earthquake nz","New Zealand","Environment"
"2295","GeoNet","New Zealand","Environment"
"2296","Northpower outages","New Zealand","Environment"
"2297","Father's Day","New Zealand","Culture & Society"
"2298","Father's Day 2024","New Zealand","Culture & Society"
"2299","Giovanna Fletcher","New Zealand","Culture & Society"
"2300","Golriz Ghahraman","New Zealand","Culture & Society"
"2301","Jerry West","New Zealand","Culture & Society"
"2302","Marama Davidson","New Zealand","Culture & Society"
"2303","Marokopa","New Zealand","Culture & Society"
"2304","Rebecca Grossman","New Zealand","Culture & Society"
"2305","Rob Burrow","New Zealand","Culture & Society"
"2306","Interislander","New Zealand","Travel & Tourism"
"2307","Jetstar","New Zealand","Travel & Tourism"
"2308","Jetstar NZ","New Zealand","Travel & Tourism"
"2309","Keel","New Zealand","Lifestyle"
"2310","Lotto","New Zealand","Lifestyle"
"2311","Lotto NZ","New Zealand","Lifestyle"
"2312","Lotto Results","New Zealand","Lifestyle"
"2313","Calculator","New Zealand","Science & Technology"
"2314","Canva","New Zealand","Science & Technology"
"2315","Nvidia","New Zealand","Science & Technology"
"2316","Quantum","New Zealand","Science & Technology"
"2317","Scotland vs Australia","New Zealand","Sports"
"2318","Scotland vs Switzerland","New Zealand","Sports"
"2319","South Africa vs Bangladesh","New Zealand","Sports"
"2320","State of Origin","New Zealand","Sports"
"2321","T20","New Zealand","Sports"
"2322","T20 World Cup","New Zealand","Sports"
"2323","U.S. Open","New Zealand","Sports"
"2324","U.S. Open golf","New Zealand","Sports"
"2325","UFC","New Zealand","Sports"
"2326","Uganda vs New Zealand","New Zealand","Sports"
"2327","United States vs West Indies","New Zealand","Sports"
"2328","Warriors","New Zealand","Sports"
"2329","Warriors vs Storm","New Zealand","Sports"
"2330","Warriors vs Titans","New Zealand","Sports"
"2331","West Indies vs Afghanistan","New Zealand","Sports"
"2332","West Indies vs England","New Zealand","Sports"
"2333","West Indies vs South Africa","New Zealand","Sports"
"2334","West Indies vs Uganda","New Zealand","Sports"
"2335","Albania vs Spain","Nigeria","Sports"
"2336","Argentina vs Canada","Nigeria","Sports"
"2337","Austria vs France","Nigeria","Sports"
"2338","Belgium vs Romania","Nigeria","Sports"
"2339","Belgium vs Slovakia","Nigeria","Sports"
"2340","Benin vs Nigeria","Nigeria","Sports"
"2341","Chile vs Argentina","Nigeria","Sports"
"2342","Croatia vs Albania","Nigeria","Sports"
"2343","Croatia vs Italy","Nigeria","Sports"
"2344","Denmark vs England","Nigeria","Sports"
"2345","Denmark vs Serbia","Nigeria","Sports"
"2346","Ecuador vs Venezuela","Nigeria","Sports"
"2347","England vs Bosnia and Herzegovina","Nigeria","Sports"
"2348","England vs Iceland","Nigeria","Sports"
"2349","England vs Slovenia","Nigeria","Sports"
"2350","France vs Poland","Nigeria","Sports"
"2351","Georgia vs Czechia","Nigeria","Sports"
"2352","Georgia vs Portugal","Nigeria","Sports"
"2353","Germany vs Hungary","Nigeria","Sports"
"2354","Germany vs Scotland","Nigeria","Sports"
"2355","Brazil vs Costa Rica","Nigeria","Sports"
"2356","Seek","New Zealand","Science & Technology"
"2357","Sky Go","New Zealand","Science & Technology"
"2358","iOS 18","New Zealand","Science & Technology"
"2359","Apple iPhone 16 Pro Max","Nigeria","Science & Technology"
"2360","Sherri Papini","New Zealand","Culture & Society"
"2361","Tamayo Perry","New Zealand","Culture & Society"
"2362","Trigger Warning","New Zealand","Culture & Society"
"2363","Trooping the Colour 2024","New Zealand","Culture & Society"
"2364","Angel Unigwe","Nigeria","Culture & Society"
"2365","Eid-el-Kabir","Nigeria","Culture & Society"
"2366","Father's Day message","Nigeria","Culture & Society"
"2367","The Acolyte","New Zealand","Entertainment"
"2368","The Boys","New Zealand","Entertainment"
"2369","Warriors","New Zealand","Entertainment"
"2370","Bridgerton Season 3","Nigeria","Entertainment"
"2371","Bill Cobbs","Nigeria","Entertainment"
"2372","Donald Sutherland","Nigeria","Entertainment"
"2373","Vladimir Putin","New Zealand","Politics"
"2374","Bharatiya Janata Party","Nigeria","Politics"
"2375","England squad for Euro 2024","Nigeria","Politics"
"2376","Cholera","Nigeria","Health & Medicine"
"2377","CBN","Nigeria","Economy"
"2378","Dangote Refinery","Nigeria","Economy"
"2379","Ethereum","Nigeria","Economy"
"2380","Euro","Nigeria","Economy"
"2381","Binance","Nigeria","Economy"
"2382","Benin Boys Shallipopi","Nigeria","Music"
"2383","Davido","Nigeria","Music"
"2384","Foolio","Nigeria","Music"
"2385","Farooq Oreagba","Nigeria","Business & Finance"
"2386","Happy Father's Day 2024 wishes","Nigeria","Culture & Society"
"2387","Juneteenth","Nigeria","Culture & Society"
"2388","Ojude Oba 2024","Nigeria","Culture & Society"
"2389","Heritage Bank","Nigeria","Business & Finance"
"2390","Heritage Bank news","Nigeria","Business & Finance"
"2391","Konga","Nigeria","Business & Finance"
"2392","Tolaram Group","Nigeria","Business & Finance"
"2393","House of the Dragon' Season 2","Nigeria","Entertainment"
"2394","Portable","Nigeria","Entertainment"
"2395","Tems","Nigeria","Entertainment"
"2396","The Boys","Nigeria","Entertainment"
"2397","Bridgerton","Norway","Entertainment"
"2398","Bruce Willis","Norway","Entertainment"
"2399","Bryan Adams","Norway","Entertainment"
"2400","C. Gambino","Norway","Entertainment"
"2401","Inter Miami vs St. Louis","Nigeria","Sports"
"2402","Italy","Nigeria","Sports"
"2403","Italy vs Albania","Nigeria","Sports"
"2404","Jhon Duran","Nigeria","Sports"
"2405","Jonathan David","Nigeria","Sports"
"2406","Joshua Zirkzee","Nigeria","Sports"
"2407","Mavericks vs Celtics","Nigeria","Sports"
"2408","Mbappe","Nigeria","Sports"
"2409","Mexico vs Brazil","Nigeria","Sports"
"2410","Netherlands vs Austria","Nigeria","Sports"
"2411","Netherlands vs France","Nigeria","Sports"
"2412","Nigeria vs South Africa","Nigeria","Sports"
"2413","Panama vs USA","Nigeria","Sports"
"2414","Poland vs Austria","Nigeria","Sports"
"2415","Portugal vs Czech Republic","Nigeria","Sports"
"2416","Premier League fixtures","Nigeria","Sports"
"2417","Rangers vs Enyimba","Nigeria","Sports"
"2418","Romania vs Ukraine","Nigeria","Sports"
"2419","Scotland vs Hungary","Nigeria","Sports"
"2420","Scotland vs Switzerland","Nigeria","Sports"
"2421","Serbia vs England","Nigeria","Sports"
"2422","Slovakia vs Romania","Nigeria","Sports"
"2423","Slovakia vs Ukraine","Nigeria","Sports"
"2424","Slovenia vs Denmark","Nigeria","Sports"
"2425","Slovenia vs Serbia","Nigeria","Sports"
"2426","Spain vs Croatia","Nigeria","Sports"
"2427","Spain vs Italy","Nigeria","Sports"
"2428","Switzerland vs Germany","Nigeria","Sports"
"2429","Turkey vs Georgia","Nigeria","Sports"
"2430","Türkiye vs Portugal","Nigeria","Sports"
"2431","UEFA Euro","Nigeria","Sports"
"2432","Ukraine vs Belgium","Nigeria","Sports"
"2433","Wilder vs Zhang","Nigeria","Sports"
"2434","World Cup Qualifiers","Nigeria","Sports"
"2435","Alexander Zverev","Norway","Sports"
"2436","Amalie Iuel","Norway","Sports"
"2437","Bodø/Glimt","Norway","Sports"
"2438","NLC strike update","Nigeria","Politics"
"2439","NYSC","Nigeria","Politics"
"2440","Police Service Commission","Nigeria","Politics"
"2441","Tinubu","Nigeria","Politics"
"2442","Minimum wage news","Nigeria","Economy"
"2443","Strike update","Nigeria","Economy"
"2444","Suresh Gopi","Nigeria","Health & Medicine"
"2445","Nvidia","Nigeria","Science & Technology"
"2446","OpenAI","Nigeria","Science & Technology"
"2447","iOS 18","Nigeria","Science & Technology"
"2448","Apple","Norway","Science & Technology"
"2449","Nigeria","Nigeria","Travel & Tourism"
"2450","Albania","Norway","Travel & Tourism"
"2451","Bykle","Norway","Travel & Tourism"
"2452","Tosin Adarabioyo","Nigeria","Lifestyle"
"2453","Ugo Nwoke","Nigeria","Lifestyle"
"2454","Alan Hansen","Norway","Lifestyle"
"2455","Malawi","Nigeria","Environment"
"2456","Poland","Nigeria","Environment"
"2457","Stella Ikwuegbu","Nigeria","Culture"
"2458","Calafiori","Norway","Sports"
"2459","Casper Ruud","Norway","Sports"
"2460","Copa America","Norway","Sports"
"2461","Cristiano Ronaldo","Norway","Sports"
"2462","Dortmund","Norway","Sports"
"2463","EM","Norway","Sports"
"2464","Fotball-EM 2024","Norway","Sports"
"2465","Friidrett EM 2024","Norway","Sports"
"2466","Harry Kane","Norway","Sports"
"2467","Henrik Ingebrigtsen","Norway","Sports"
"2468","Jakob Ingebrigtsen","Norway","Sports"
"2469","Karoline Bjerkeli Grøvdal","Norway","Sports"
"2470","Karoline Grøvdal","Norway","Sports"
"2471","Karsten Warholm","Norway","Sports"
"2472","Luka Modric","Norway","Sports"
"2473","Lukaku","Norway","Sports"
"2474","Matija Sarkic","Norway","Sports"
"2475","Mbappe","Norway","Sports"
"2476","Nagelsmann","Norway","Sports"
"2477","NBA","Norway","Sports"
"2478","Ronaldo","Norway","Sports"
"2479","ChatGPT","Norway","Science & Technology"
"2480","Elon Musk","Norway","Science & Technology"
"2481","Circle K","Norway","Business & Finance"
"2482","Euro","Norway","Business & Finance"
"2483","DFDS","Norway","Travel & Tourism"
"2484","EasyJet","Norway","Travel & Tourism"
"2485","Preikestolen","Norway","Travel & Tourism"
"2486","Dag Erik Pedersen","Norway","Culture & Society"
"2487","Dagestan","Norway","Culture & Society"
"2488","Idyllfestivalen","Norway","Culture & Society"
"2489","Jahn Teigen","Norway","Culture & Society"
"2490","Journey","Norway","Culture & Society"
"2491","Pride","Norway","Culture & Society"
"2492","St. Hans","Norway","Culture & Society"
"2493","Donald Sutherland","Norway","Entertainment"
"2494","Ewan McGregor","Norway","Entertainment"
"2495","Forræder","Norway","Entertainment"
"2496","Justin Timberlake","Norway","Entertainment"
"2497","Maria Arredondo","Norway","Entertainment"
"2498","Mr Bungle","Norway","Entertainment"
"2499","Rod Stewart","Norway","Entertainment"
"2500","Danmark Serbia","Norway","Politics"
"2501","Danmark-Norge","Norway","Politics"
"2502","Georgia","Norway","Politics"
"2503","Gro Harlem Brundtland","Norway","Politics"
"2504","Hunter Biden","Norway","Politics"
"2505","Jens Stoltenberg","Norway","Politics"
"2506","Joe Biden","Norway","Politics"
"2507","Julian Assange","Norway","Politics"
"2508","Lubna Jaffery","Norway","Politics"
"2509","Malawi","Norway","Politics"
"2510","Noam Chomsky","Norway","Politics"
"2511","Norge Danmark","Norway","Politics"
"2512","Norge mot Kosovo","Norway","Politics"
"2513","Norge-Kosovo","Norway","Politics"
"2514","Romania Ukraina","Norway","Politics"
"2515","Serbia","Norway","Politics"
"2516","Slovakia","Norway","Politics"
"2517","Slovenia","Norway","Politics"
"2518","Sveits","Norway","Politics"
"2519","DT","Norway","Health & Medicine"
"2520","Mia Rusthen","Norway","Health & Medicine"
"2521","Michael Mosley","Norway","Health & Medicine"
"2522","OZEMPIC","Norway","Health & Medicine"
"2523","Ricin","Norway","Health & Medicine"
"2524","F1","Norway","Lifestyle"
"2525","Foma-festival","Norway","Lifestyle"
"2526","Stig Rune Kveen","Norway","Lifestyle"
"2527","Lyn","Norway","Environment"
"2528","Lærdal","Norway","Environment"
"2529","P-e-p-e","Norway","Food & Drink"
"2530","DFDS","Norway","Travel & Tourism"
"2531","EasyJet","Norway","Travel & Tourism"
"2532","Preikestolen","Norway","Travel & Tourism"
"2533","Taylor Fritz","Norway","Sports"
"2534","USOpenGolf","Norway","Sports"
"2535","Vålerenga","Norway","Sports"
"2536","Zverev","Norway","Sports"
"2537","Boston vs Dallas","Philippines","Sports"
"2538","Boston vs Dallas Game 2","Philippines","Sports"
"2539","Boston vs Dallas Game 3","Philippines","Sports"
"2540","Boston vs Dallas Game 5","Philippines","Sports"
"2541","Bronny James draft","Philippines","Sports"
"2542","Celtics vs Mavericks","Philippines","Sports"
"2543","Dallas vs Boston","Philippines","Sports"
"2544","Dallas vs Boston Game 2","Philippines","Sports"
"2545","Dallas vs Boston Game 3","Philippines","Sports"
"2546","Dallas vs Boston Game 5","Philippines","Sports"
"2547","Dalton Knecht","Philippines","Sports"
"2548","Deontay Wilder","Philippines","Sports"
"2549","Gilas Pilipinas","Philippines","Sports"
"2550","Janisa Johnson","Philippines","Sports"
"2551","F1","Philippines","Sports"
"2552","Thomas Brodie-Sangster","Norway","Entertainment"
"2553","Tool","Norway","Entertainment"
"2554","Willie Nelson","Norway","Entertainment"
"2555","Åge Aleksandersen","Norway","Entertainment"
"2556","Barry Keoghan","Philippines","Entertainment"
"2557","Bridgerton Season 3 Part 2","Philippines","Entertainment"
"2558","Byeon Woo-seok","Philippines","Entertainment"
"2559","CJ de Silva Promil","Philippines","Entertainment"
"2560","Celine Dion","Philippines","Entertainment"
"2561","Chappell Roan","Philippines","Entertainment"
"2562","Charlie Dizon","Philippines","Entertainment"
"2563","Cong TV","Philippines","Entertainment"
"2564","Friends","Philippines","Entertainment"
"2565","Hierarchy K-drama","Philippines","Entertainment"
"2566","House of the Dragon","Philippines","Entertainment"
"2567","Inside Out 2 full movie","Philippines","Entertainment"
"2568","Jay Park","Philippines","Entertainment"
"2569","Justin Timberlake","Philippines","Entertainment"
"2570","Kengan Ashura","Philippines","Entertainment"
"2571","Knives Out 3 cast","Philippines","Entertainment"
"2572","Trollstigen","Norway","Travel & Tourism"
"2573","Tvungen lønnsnemnd","Norway","Politics"
"2574","Ukraina","Norway","Politics"
"2575","Unio","Norway","Politics"
"2576","Benjamin Netanyahu","Philippines","Politics"
"2577","Duterte","Philippines","Politics"
"2578","Duterte news today","Philippines","Politics"
"2579","Harry Roque","Philippines","Politics"
"2580","Jordan Bardella","Philippines","Politics"
"2581","Tv2.no","Norway","Economy"
"2582","Tyskland Sveits","Norway","Economy"
"2583","Tyskland Ungarn","Norway","Economy"
"2584","Bagong Pilipinas hymn","Philippines","Economy"
"2585","Converge","Philippines","Economy"
"2586","AI","Philippines","Science & Technology"
"2587","H5N2 avian influenza","Philippines","Health & Medicine"
"2588","A Quiet Place: Day One","Philippines","Culture & Society"
"2589","Best Friend Day","Philippines","Culture & Society"
"2590","Eid Al Adha 2024","Philippines","Culture & Society"
"2591","Father's Day","Philippines","Culture & Society"
"2592","Father's Day message","Philippines","Culture & Society"
"2593","Happy Father's Day","Philippines","Culture & Society"
"2594","Happy Father's Day 2024","Philippines","Culture & Society"
"2595","Independence Day","Philippines","Culture & Society"
"2596","June 12 holiday","Philippines","Culture & Society"
"2597","June 8","Philippines","Culture & Society"
"2598","June holidays 2024","Philippines","Culture & Society"
"2599","Juneteenth","Philippines","Culture & Society"
"2600","Grand Westside Hotel","Philippines","Business & Finance"
"2601","Access","Philippines","Lifestyle"
"2602","Alice Guo","Philippines","Lifestyle"
"2603","Kanlaon Volcano","Philippines","Environment"
"2604","Trollstigen","Norway","Travel & Tourism"
"2605","Krishnah Gravidez Miss Charm","Philippines","Culture & Society"
"2606","When is Father's Day 2024","Philippines","Culture & Society"
"2607","When is Father's Day in 2024","Philippines","Culture & Society"
"2608","Zaccharie Risacher","Philippines","Culture & Society"
"2609","Dzien Ojca","Poland","Culture & Society"
"2610","Dzień ojca","Poland","Culture & Society"
"2611","Kristaps Porziņģis","Philippines","Sports"
"2612","Kyrie Irving","Philippines","Sports"
"2613","Mavs vs Celtics Game 2","Philippines","Sports"
"2614","Mavs vs Celtics Game 3","Philippines","Sports"
"2615","NBA","Philippines","Sports"
"2616","NBA Draft 2024","Philippines","Sports"
"2617","NBA Finals MVP","Philippines","Sports"
"2618","NBA games","Philippines","Sports"
"2619","NBA score","Philippines","Sports"
"2620","Olivier Rioux","Philippines","Sports"
"2621","PBA","Philippines","Sports"
"2622","San Miguel vs Meralco","Philippines","Sports"
"2623","Sports","Philippines","Sports"
"2624","Star Magic All-Star Games 2024","Philippines","Sports"
"2625","Steven van de Velde","Philippines","Sports"
"2626","Türkiye vs Portugal","Philippines","Sports"
"2627","Euro 2024","Poland","Sports"
"2628","Anglia – Słowenia","Poland","Sports"
"2629","Belgia - Rumunia","Poland","Sports"
"2630","Belgia Słowacja","Poland","Sports"
"2631","Chorwacja - Włochy","Poland","Sports"
"2632","Czechy - Turcja","Poland","Sports"
"2633","Gruzja Czechy","Poland","Sports"
"2634","Gruzja – Portugalia","Poland","Sports"
"2635","Q fever","Philippines","Health & Medicine"
"2636","Fentanyl","Poland","Health & Medicine"
"2637","H5N2","Poland","Health & Medicine"
"2638","North Korea South Korea balloons","Philippines","Politics"
"2639","Oakland Mayor Sheng Thao","Philippines","Politics"
"2640","Rodrigo Duterte","Philippines","Politics"
"2641","Senator Leila de Lima","Philippines","Politics"
"2642","South China Sea Philippines","Philippines","Politics"
"2643","Vladimir Putin","Philippines","Politics"
"2644","Volodymyr Zelensky","Philippines","Politics"
"2645","West Philippine Sea","Philippines","Politics"
"2646","Alior Bank","Poland","Business & Finance"
"2647","Euro","Poland","Business & Finance"
"2648","Shay Mitchell","Philippines","Entertainment"
"2649","Thomas Brodie-Sangster","Philippines","Entertainment"
"2650","Venom: The Last Dance","Philippines","Entertainment"
"2651","Bill Cobbs","Poland","Entertainment"
"2652","Donald Sutherland","Poland","Entertainment"
"2653","Clout MMA","Poland","Entertainment"
"2654","Sulfur dioxide","Philippines","Science & Technology"
"2655","iOS 18","Poland","Science & Technology"
"2656","Lotto Result June 15, 2024","Philippines","Economy"
"2657","Lotto result June 11, 2024 philippines today","Philippines","Economy"
"2658","Lotto result June 19, 2024","Philippines","Economy"
"2659","Lotto result June 22, 2024","Philippines","Economy"
"2660","Lotto result June 24, 2024","Philippines","Economy"
"2661","Lahar","Philippines","Environment"
"2662","Levi Wright","Philippines","Lifestyle"
"2663","Sunoo","Philippines","Lifestyle"
"2664","Under Paris","Philippines","Lifestyle"
"2665","World Ugliest Dog Contest","Philippines","Lifestyle"
"2666","Alkaraz","Poland","Lifestyle"
"2667","Arek Tomiak","Poland","Lifestyle"
"2668","Barnabas Varga","Poland","Lifestyle"
"2669","Grosicki","Poland","Lifestyle"
"2670","San Juan","Philippines","Travel & Tourism"
"2671","Góry Izerskie","Poland","Travel & Tourism"
"2672","Alior Bank","Poland","Business & Finance"
"2673","Euro","Poland","Business & Finance"
"2674","Hunter Biden","Poland","Politics"
"2675","Joe Biden","Poland","Politics"
"2676","Kandydaci do europarlamentu 2024","Poland","Politics"
"2677","Kosiniak-Kamysz","Poland","Politics"
"2678","Kotecka-Ziobro","Poland","Politics"
"2679","Lech Wałęsa","Poland","Politics"
"2680","Putin","Poland","Politics"
"2681","Ryszard Terlecki","Poland","Politics"
"2682","Wanda Nowicka","Poland","Politics"
"2683","Wybory do Parlamentu Europejskiego","Poland","Politics"
"2684","Wybory do europarlamentu 2024","Poland","Politics"
"2685","Wyniki wyborów","Poland","Politics"
"2686","Wyniki wyborów europejskich","Poland","Politics"
"2687","Hiszpania - Chorwacja","Poland","Sports"
"2688","Hiszpania - Włochy","Poland","Sports"
"2689","Hurkacz","Poland","Sports"
"2690","Iga Świątek","Poland","Sports"
"2691","Jean-Pierre Nsame","Poland","Sports"
"2692","Kacper Urbański","Poland","Sports"
"2693","Le Mans 2024","Poland","Sports"
"2694","Lewandowski","Poland","Sports"
"2695","Mbappe","Poland","Sports"
"2696","Mecz Austria Francja","Poland","Sports"
"2697","Mecz Francja - Holandia","Poland","Sports"
"2698","Mecz Polska - Austria","Poland","Sports"
"2699","Mecz Polska - Holandia","Poland","Sports"
"2700","Mecz Polska-Holandia","Poland","Sports"
"2701","Motor Lublin","Poland","Sports"
"2702","Moutet","Poland","Sports"
"2703","Nicola Zalewski","Poland","Sports"
"2704","Niemcy - Szkocja","Poland","Sports"
"2705","Niemcy - Węgry","Poland","Sports"
"2706","Niemcy Szwajcaria mecz","Poland","Sports"
"2707","Polska - Austria","Poland","Sports"
"2708","Polska - Brazylia","Poland","Sports"
"2709","Polska - Brazylia siatkówka","Poland","Sports"
"2710","Polska - Francja","Poland","Sports"
"2711","Polska - Holandia","Poland","Sports"
"2712","Polska - Turcja","Poland","Sports"
"2713","Polska - Ukraina","Poland","Sports"
"2714","Polska - Ukraina wynik","Poland","Sports"
"2715","Polska Turcja","Poland","Sports"
"2716","Polska wlochy siatkowka","Poland","Sports"
"2717","Polska – Holandia","Poland","Sports"
"2718","Polska – Ukraina","Poland","Sports"
"2719","Portugalia - Czechy","Poland","Sports"
"2720","Sabalenka","Poland","Sports"
"2721","Siatkówka kobiet","Poland","Sports"
"2722","Slowacja Rumunia","Poland","Sports"
"2723","Szczęsny","Poland","Sports"
"2724","Szkocja Szwajcaria","Poland","Sports"
"2725","Słowacja – Ukraina","Poland","Sports"
"2726","Słowenia – Serbia","Poland","Sports"
"2727","TVP Sport","Poland","Sports"
"2728","TVPSPORT","Poland","Sports"
"2729","Turcja – Portugalia","Poland","Sports"
"2730","UFC","Poland","Sports"
